cohort,race,treatment,OR,2.5%,97.5%
4,race_white,VP_elig,1,1,1
4,race_asian,VP_elig,1.0094644191372923,0.9629898930067273,1.066225250693037
4,race_hisp,VP_elig,0.9943793702489268,0.9026290544091947,1.0399691404646563
4,race_black,VP_elig,0.9302614508297,0.8513857367231894,1.0000575654605195
4,race_white,RRT_elig,1,1,1
4,race_asian,RRT_elig,1.0,1.0,1.0341636483812944
4,race_hisp,RRT_elig,1.0,1.0,1.065438550299505
4,race_black,RRT_elig,0.9781674016394006,0.9359131632633361,1.001424565782438
4,race_white,MV_elig,1,1,1
4,race_asian,MV_elig,0.9649573998891698,0.9025149622570295,1.0
4,race_hisp,MV_elig,0.9527077827988377,0.8662585829563818,1.0
4,race_black,MV_elig,0.9045598791593368,0.8253965182601362,0.9691569865545469
3,race_white,VP_elig,1,1,1
3,race_asian,VP_elig,1.0079494669737894,0.9527120456102799,1.091076273522709
3,race_hisp,VP_elig,0.9992492271151114,0.9276343846385136,1.0758791207664797
3,race_black,VP_elig,0.906852060762765,0.8384598322938829,0.9679228723324379
3,race_white,RRT_elig,1,1,1
3,race_asian,RRT_elig,1.0,1.0,1.0449077472125572
3,race_hisp,RRT_elig,1.0,1.0,1.0998139482982363
3,race_black,RRT_elig,0.9762183756081892,0.9060519372580379,1.0213338991460683
3,race_white,MV_elig,1,1,1
3,race_asian,MV_elig,0.9713795557547107,0.9094537550661045,1.000051345743857
3,race_hisp,MV_elig,0.8479205540019006,0.7780495052093028,0.9260420686921651
3,race_black,MV_elig,0.8956921524692047,0.8306117238644627,0.9619466801533213
2,race_white,VP_elig,1,1,1
2,race_asian,VP_elig,1.0273994972892904,0.9821856651029811,1.1233338325897975
2,race_hisp,VP_elig,1.0,0.9356533040432644,1.0523759871606007
2,race_black,VP_elig,0.8795886914087434,0.8042688738353266,0.942929717024888
2,race_white,RRT_elig,1,1,1
2,race_asian,RRT_elig,1.0,1.0,1.0036556741592333
2,race_hisp,RRT_elig,1.0,1.0,1.1636795530194248
2,race_black,RRT_elig,1.000064222988435,0.9474296131568322,1.1931595891178526
2,race_white,MV_elig,1,1,1
2,race_asian,MV_elig,0.9312879584356566,0.8436950258410947,0.9792061741127875
2,race_hisp,MV_elig,0.8633018620310412,0.7739457482975592,0.934750387654432
2,race_black,MV_elig,0.9080794149320759,0.8344715798725827,0.9704087476385928
1,race_white,VP_elig,1,1,1
1,race_asian,VP_elig,0.976028743719618,0.9007796997633982,1.0635810005720203
1,race_hisp,VP_elig,1.0,0.9378882748844807,1.0706605159648495
1,race_black,VP_elig,0.8062965495026142,0.7151385255705595,0.8685246783853428
1,race_white,RRT_elig,1,1,1
1,race_asian,RRT_elig,1.0,1.0,1.0039616081502694
1,race_hisp,RRT_elig,1.0,1.0,1.1271717839046138
1,race_black,RRT_elig,1.0239888070303342,0.9892344748214399,1.1805812154075468
1,race_white,MV_elig,1,1,1
1,race_asian,MV_elig,0.9690058629061928,0.8920392030881069,1.010016826650132
1,race_hisp,MV_elig,0.8969940553371951,0.8029258739607443,0.9705964326222403
1,race_black,MV_elig,0.8598222956291945,0.8018117220937717,0.9193194973018569
